objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
435728,14.40.642,Botticelli (Alessandro di Mariano Filipepi),The Last Communion of Saint Jerome,early 1490s,Tempera and gold on wood,13 1/2 x 10 in. (34.3 x 25.4 cm),34.3,25.4,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-24049-001.jpg
435729,11.98,Botticelli (Alessandro di Mariano Filipepi),Three Miracles of Saint Zenobius,ca. 1500,Tempera on wood,26 1/2 x 59 1/4 in. (67.3 x 150.5 cm),67.3,150.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-18875-001.jpg
435730,29.100.17,Botticelli,Madonna and Child with Two Angels,,Tempera on wood,"Oval, 39 1/4 x 28 in. (99.7 x 71.1 cm)",99.7,71.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/EP256.jpg
435731,49.7.4,Botticelli,The Coronation of the Virgin,,"Tempera on canvas, transferred from wood",39 1/2 x 60 1/4 in. (100.3 x 153 cm),100.3,153.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT350031.jpg
435733,61.235,Francesco Botticini (Francesco di Giovanni),Madonna and Child Enthroned with Saints and Angels,1493–95,Tempera on wood,"Arched top, 110 1/2 x 69 in. (280.7 x 175.3 cm)",280.7,175.3,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT7233.jpg
435735,33.136.7,Etienne Bouchardy,Portrait of a Woman,1838,Ivory,4 7/8 x 4 1/8 in. (125 x 104 mm),12.4,10.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-40802-001.jpg
435736,25.106.4,Etienne Bouchardy,Portrait of a Woman,1832,Ivory laid on card,"Oval, 3 1/4 x 2 5/8 in. (82 x 67 mm)",8.3,6.7,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-43807-001.jpg
435738,49.7.46,François Boucher,The Interrupted Sleep,1750,Oil on canvas,Overall 32 1/4 x 29 5/8 in. (81.9 x 75.2 cm); painted surface (irregular oval) 31 x 27 3/4 in. (78.7 x 70.5 cm),81.9,75.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-414-001.jpg
435739,20.155.9,François Boucher,The Toilette of Venus,1751,Oil on canvas,42 5/8 x 33 1/2 in. (108.3 x 85.1 cm),108.3,85.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-411-01.jpg
435740,69.155.1,François Boucher,Allegory of Autumn,1753,Oil on canvas,"Irregular, 44 3/4 x 63 3/4 in. (113.7 x 161.9 cm)",113.7,161.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP259112.jpg
435741,69.155.2,François Boucher,Allegory of Lyric Poetry,1753,Oil on canvas,"Irregular, 45 1/4 x 62 3/4 in. (114.9 x 159.4 cm)",114.9,159.4,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP259113.jpg
435742,1982.60.46,François Boucher,Angelica and Medoro,1763,Oil on canvas,"Oval, 26 1/4 x 22 1/8 in. (66.7 x 56.2 cm)",66.7,56.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP339914.jpg
435743,44.141,François Boucher,The Dispatch of the Messenger,1765,Oil on canvas,"Oval, 12 5/8 x 10 1/2 in. (32.1 x 26.7 cm)",32.1,26.7,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP337751.jpg
435744,66.167,François Boucher,Virgin and Child with the Young Saint John the Baptist and Angels,1765,Oil on canvas,"Oval, 16 1/8 x 13 5/8 in. (41 x 34.6 cm)",41.0,34.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP123935.jpg
435745,53.225.1,François Boucher,Shepherd's Idyll,1768,Oil on canvas,94 1/2 x 93 1/2 in. (240 x 237.5 cm),240.0,237.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP259114.jpg
435746,53.225.2,François Boucher,Washerwomen,1768,Oil on canvas,95 x 93 in. (241.3 x 236.2 cm),241.3,236.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP259119.jpg
435747,1982.60.45,François Boucher,"Jupiter, in the Guise of Diana, and Callisto",1763,Oil on canvas,"Oval, 25 1/2 x 21 5/8 in. (64.8 x 54.9 cm)",64.8,54.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP339911.jpg
435748,07.225.291,François Boucher,Study for a Monument to a Princely Figure,,"Oil on paper, mounted on board",15 x 12 5/8 in. (38.1 x 32.1 cm),38.1,32.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP312851.jpg
