objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
51827,57.114,Unidentified artist,One of the Taoist Masters,,Hanging scroll; ink and color on paper,78 1/4 x 39 1/2 in. (198.8 x 100.3 cm),198.8,100.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33165-002.jpg
51828,57.116.1,Unidentified artist,Eight Heavenly Emperors,,Hanging scroll; ink and color on paper,"Image: 77 3/4 x 39 1/4 in. (197.5 x 99.7 cm)
Overall with mounting: W. 52 in. (132.1 cm)
Overall with knobs: W. 56 in. (142.2 cm)",197.5,99.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33166-002.jpg
51829,57.116.2,Unidentified artist,Seven Heavenly Emperors,,Hanging scroll; ink and color on paper,63 1/8 x 39 5/8 in. (160.3 x 100.6 cm),160.3,100.6,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33167-002.jpg
51830,57.116.3,Unidentified artist,One of the Taoist Masters,,Hanging scroll; ink and color on paper,77 1/2 x 39 1/4 in. (196.9 x 99.7 cm),196.9,99.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33168-002.jpg
51832,57.125,Unidentified artist,Beggars,,Handscroll; ink and color on paper,10 x 132 3/4 in. (25.4 x 337.2 cm),25.4,337.2,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP204819_CRD.jpg
51834,57.174.3,Unidentified artist,Sages in a Bamboo Grove,,Hanging scroll; ink and color on silk,67 5/8 x 33 1/2 in. (171.8 x 85.1 cm),171.8,85.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33169-001.jpg
51835,57.175,Unidentified artist,A Guardian King,,Hanging scroll; color on silk,76 1/2 x 39 1/2 in. (194.3 x 100.3 cm),194.3,100.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33170-002.jpg
51836,57.177.1,Unidentified artist,Seven Dignitaries,,Hanging scroll; color on silk,76 x 39 1/4 in. (193.0 x 99.7 cm),193.0,99.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-33171-002.jpg
51839,58.79.2,Unidentified artist,Album Containing Twelve Paintings of Insects,19th century,Album of twelve leaves; color on pith paper,"Image (each): 8 3/4 × 13 1/4 in. (22.2 × 33.7 cm)
Overall (album): 9 3/4 × 14 5/8 × 1/2 in. (24.8 × 37.1 × 1.3 cm)",22.225044,33.655067,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156874.jpg
51840,58.176,Unidentified artist,Seven Heavenly Kings,,Hanging scroll; color on silk,77 3/4 x 39 1/4 in. (197.5 x 99.7 cm),197.5,99.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/58_176.JPG
51841,58.184,Unidentified artist,Seven Heavenly Kings,,Hanging scroll; color on silk,"Image: 77 x 39 1/4 in. (195.6 x 99.7 cm)
Overall with mounting: 112 3/4 x 50 3/8 in. (286.4 x 128 cm)
Overall with knobs: 112 3/4 x 54 1/2 in. (286.4 x 138.4 cm)",195.5804,99.6952,Asian Art,https://images.metmuseum.org/CRDImages/as/original/58_184.JPG
51842,58.185,Unidentified artist,Taoist Diety,,Hanging scroll; color on silk,66 1/2 x 40 in. (168.9 x 101.6 cm),168.9,101.6,Asian Art,https://images.metmuseum.org/CRDImages/as/original/58_185.JPG
