objectID,artistDisplayName,title,objectDate,medium,dimensions,department,img_id,img_url,img_area,eye_count
872015,Kano Sansetsu,"Shakyamuni Emerging from the Mountains, with Dragon and Tiger",second quarter 17th century,Triptych of hanging scrolls; ink on paper,"Image (a): 41 3/4 × 15 3/8 in. (106 × 39 cm)
Image (b): 41 11/16 × 15 7/16 in. (105.9 × 39.2 cm)
Image (c): 41 3/4 × 15 3/8 in. (106 × 39.1 cm)
Overall with mounting (each): 76 7/8 × 21 in. (195.3 × 53.3 cm)
Overall with knobs (each): 76 7/8 × 22 3/4 in. (195.3 × 57.8 cm)",Asian Art,872015_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/872015_000.avif,1800,3
872016,Giuseppe Abbati,A Man Seated and Asleep,ca. 1865,Oil on wood,10 3/16 × 4 13/16 in. (25.8 × 12.2 cm),European Paintings,872016_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/872016_000.avif,60060,2
872017,Kano Motonobu 狩野元信,Chinese Boys at Play,first half 16th century,"Folding fan mounted as a hanging scroll; ink, color, gold, and mica on paper","Image (fan only): 9 1/8 × 18 1/2 in. (23.2 × 47 cm)
Overall with mounting: 45 × 26 in. (114.3 × 66 cm)
Overall with knobs: 45 × 28 1/4 in. (114.3 × 71.8 cm)",Asian Art,872017_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/872017_000.avif,4212,4
872017,Kano Motonobu 狩野元信,Chinese Boys at Play,first half 16th century,"Folding fan mounted as a hanging scroll; ink, color, gold, and mica on paper","Image (fan only): 9 1/8 × 18 1/2 in. (23.2 × 47 cm)
Overall with mounting: 45 × 26 in. (114.3 × 66 cm)
Overall with knobs: 45 × 28 1/4 in. (114.3 × 71.8 cm)",Asian Art,872017_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/872017_001.avif,6549,2
875634,Rachel Ruysch,Rachel Ruysch (1664–1750),1692,Oil on canvas,30 × 25 in. (76.2 × 63.5 cm),European Paintings,875634_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/875634_000.avif,22365,2
888663,Miyagawa Chōshun 宮川長春,Handscroll of Ten Homoerotic (Nanshoku) Scenes,early 18th century,Handscroll; ink and colors on silk,Image: 10 11/16 in. × 11 ft. 1 7/8 in. (27.2 × 340 cm),Asian Art,888663_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/888663_000.avif,12384,2
890793,Utagawa Kunisada II,The Hell Courtesan,late 1850s,Hanging scroll; ink and color on silk,"Image: 65 in. × 39 3/4 in. (165.1 × 101 cm)
Overall with mounting: 8 ft. 3 in. × 46 in. (251.5 × 116.8 cm)",Asian Art,890793_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/890793_000.avif,30895,2
894589,Hua Guan,Portrait of a gentleman gathering chrysanthemums,dated 1791,Hanging scroll; ink and color on paper,Image: 81 1/8 × 38 1/8 in. (206.1 × 96.8 cm),Asian Art,894589_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/894589_000.avif,5805,2
894589,Hua Guan,Portrait of a gentleman gathering chrysanthemums,dated 1791,Hanging scroll; ink and color on paper,Image: 81 1/8 × 38 1/8 in. (206.1 × 96.8 cm),Asian Art,894589_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/894589_001.avif,3399,2
894760,Ding Shangyong,Portrait of Huang Jianyuan (1844–1911),"undated, late nineteenth century",Hanging scroll (framed); ink and color on paper,Image: 51 1/8 × 36 1/4 in. (129.9 × 92.1 cm),Asian Art,894760_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/894760_000.avif,9912,2
895426,Saitō Motonari,Illustrations of Uji Tea Production,1803,Handscroll of thirty-two sheets reformatted as a folding album (orihon),"Orihon; image: 12 5/8 in. × 54 ft. 3/4 in. (32.1 × 1647.8 cm)
Overall: 12 5/8 in. × 57 ft. 5 1/4 in. (32.1 × 1750.7 cm)",Asian Art,895426_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/895426_000.avif,3920,2
895426,Saitō Motonari,Illustrations of Uji Tea Production,1803,Handscroll of thirty-two sheets reformatted as a folding album (orihon),"Orihon; image: 12 5/8 in. × 54 ft. 3/4 in. (32.1 × 1647.8 cm)
Overall: 12 5/8 in. × 57 ft. 5 1/4 in. (32.1 × 1750.7 cm)",Asian Art,895426_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/895426_001.avif,2000,2
